,Title,Sentence,Useful
0,COVID-19 Pandemic: International Variation of Personal Protective Equipment and Infection Prevention and Control Guidelines ANesthesiA & ANALGesiA,To the Editor W e read with great interest the article by Brown et al 1 who worked with a multidisciplinary team to deploy a standardized guideline for airway management of coronavirus disease -positive or unknown patients.,1
2,COVID-19 Pandemic: International Variation of Personal Protective Equipment and Infection Prevention and Control Guidelines ANesthesiA & ANALGesiA,A long and ever-growing list of HCPs have lost their lives amid the coronavirus disease 2019 pandemic.,1
6,COVID-19 Pandemic: International Variation of Personal Protective Equipment and Infection Prevention and Control Guidelines ANesthesiA & ANALGesiA,"Countries , where PAPR or Hazmat suits are available, had previously experienced epidemics, such as severe acute respiratory syndrome coronavirus 2003 or Middle East respiratory syndrome-related coronavirus .",1
38,DISPOSABLE N95 MASKS PASS QUALITATIVE FIT-TEST BUT HAVE DECREASED FILTRATION EFFICIENCY AFTER COBALT-60 GAMMA IRRADIATION,"While the literature does not yet report on SARS-Cov2 itself, gamma ray radiation doses of between 5 and 10 kGy have been shown to achieve 4 log 10 reduction of most viruses, including other single stranded RNA viruses .",1
39,DISPOSABLE N95 MASKS PASS QUALITATIVE FIT-TEST BUT HAVE DECREASED FILTRATION EFFICIENCY AFTER COBALT-60 GAMMA IRRADIATION,"In particular, a 2019 study SARS-CoV was reported to be inactivated by a dose of 10 kGy, although lower doses were not studied ; and a 2015 study showed a 5 log 10 reduction of MERS-CoV with 10 kGy.",1
46,DISPOSABLE N95 MASKS PASS QUALITATIVE FIT-TEST BUT HAVE DECREASED FILTRATION EFFICIENCY AFTER COBALT-60 GAMMA IRRADIATION,"With the increasing evidence in recent days for the airborne transmission of SARS-CoV2, there is likely a need for biosafety level 3 management of soiled masks.",1
144,"The prevalence, characteristics, and related factors of pressure injury in medical staff wearing personal protective equipment against COVID-19 in China: A multicentre cross- sectional survey","3 The incubation period was 1 to 14 days, and the median incubation period was 4 days, 4 which had impact on the rapid spread of COVID-19 virus.",1
153,"The prevalence, characteristics, and related factors of pressure injury in medical staff wearing personal protective equipment against COVID-19 in China: A multicentre cross- sectional survey",Univariate and multivariate logistic regression analyses were employed to explore the risk factors associated with DRPI • the prevalence of DRPI among medical staff wearing personal protective equipment was significantly higher than that of patients • the multiple location DRPIs was one of typical characteristics.,1
186,"The prevalence, characteristics, and related factors of pressure injury in medical staff wearing personal protective equipment against COVID-19 in China: A multicentre cross- sectional survey",The prevalence of DRPI in male was higher than that in female .,1
206,"The prevalence, characteristics, and related factors of pressure injury in medical staff wearing personal protective equipment against COVID-19 in China: A multicentre cross- sectional survey","The data obtained from this digital online showed that the prevalence of DRPI among medical staff was as high as 30.03% , and it was significantly higher than non-PPE-acquired DRPI among patients in the United States and Canada, which reported a prevalence of 7.2% , and the facility-acquired DRPI incidence was 3.1% in 2016.",1
210,"The prevalence, characteristics, and related factors of pressure injury in medical staff wearing personal protective equipment against COVID-19 in China: A multicentre cross- sectional survey",13 The prevalence of DRPI in Chinese medical staff was significantly higher than the studies reported patients' results.,1
221,"The prevalence, characteristics, and related factors of pressure injury in medical staff wearing personal protective equipment against COVID-19 in China: A multicentre cross- sectional survey",Was it also a reason for the high prevalence of DRPI in medical staff?,1
223,"The prevalence, characteristics, and related factors of pressure injury in medical staff wearing personal protective equipment against COVID-19 in China: A multicentre cross- sectional survey","The results of this study showed that compared with the prevalence of DRPI among different health professionals , gender , level of PPE, and daily wearing time, sweating was significant .",1
233,"The prevalence, characteristics, and related factors of pressure injury in medical staff wearing personal protective equipment against COVID-19 in China: A multicentre cross- sectional survey","There were some limitations in the study, for example, because of the emergency, it was difficult to use a random sampling, there may be certain risk of sampling bias and may explain partially the high prevalence of PPE DRPI.",1
237,"The prevalence, characteristics, and related factors of pressure injury in medical staff wearing personal protective equipment against COVID-19 in China: A multicentre cross- sectional survey","The prevalence of DRPI in medical staff wearing PPE in China was found to be significantly high, and the main risk factors were identified to be sweating, male gender, the wearing of level 3 PPE, and longer wear times.",1
247,COmmenT Nature reviews | Materials,"Since the first cases were reported in December 2019, the novel coronavirus disease 2019 has swept across the globe, straining healthcare facilities through sheer case numbers.",1
294,COmmenT Nature reviews | Materials,"The challenge of cushioning the rigid plastic to the relative softness of the human face has been addressed using various materials, such as foam or weather stripping and even by multi-material printing.",1
354,Efficacy of Face Shields Against Cough Aerosol Droplets from a Cough Simulator,"In an experimental study, Hamburger and Robertson showed that most bacteria from human sneezes were detected in droplets that settled within 1.5 feet of the test subject, but that some droplets settled as far as 9.5 feet away.",1
384,Efficacy of Face Shields Against Cough Aerosol Droplets from a Cough Simulator,"As described previously, the cough volume and amount of influenza virus expelled in each cough are considerably larger than those reported for human coughs.",1
492,Efficacy of Face Shields Against Cough Aerosol Droplets from a Cough Simulator,"First, aerosol measurements of human coughs show tremendous variation from person to person in the quantity and size distribution of the aerosol particles and the amount of pathogens that are expelled.",1
493,Efficacy of Face Shields Against Cough Aerosol Droplets from a Cough Simulator,"For this reason, it is impossible to define any particular cough aerosol profile as being representative of a human cough.",1
494,Efficacy of Face Shields Against Cough Aerosol Droplets from a Cough Simulator,"Although the cough simulator generates aerosol outputs that are similar to human coughs, they are only two possibilities among a multitude of potential human cough aerosol expulsions, and other cough profiles may produce different results.",1
496,Efficacy of Face Shields Against Cough Aerosol Droplets from a Cough Simulator,"This is unlikely to be the case for human cough aerosols because pathogens such as influenza are not uniformly distributed through the respiratory tract, and this distribution probably also varies with different microorganisms.",1
715,Assessment of dispersion of airborne particles of oral/nasal fluid by high flow nasal cannula therapy,"A systematic review of AGP and risk of transmission of acute respiratory infections to healthcare workers reported that more invasive respiratory procedures such as tracheal intubation, tracheotomy and manual ventilation were a significant risk factors for SARS transmission .",1
716,Assessment of dispersion of airborne particles of oral/nasal fluid by high flow nasal cannula therapy,"This was based on a single cohort study during the SARS outbreak in Canada in 2003, which was before NHF was in clinical use .",1
717,Assessment of dispersion of airborne particles of oral/nasal fluid by high flow nasal cannula therapy,"In this study, lack of adherence to infection prevention and control practices was identified as a major contributor for HCW acquisition of SARS.",1
833,Assessment of dispersion of airborne particles of oral/nasal fluid by high flow nasal cannula therapy,"Cough is a common symptom for coronavirus, with a recent study reporting an average cough frequency of 17 events in a 30 min test .",1
845,Assessment of dispersion of airborne particles of oral/nasal fluid by high flow nasal cannula therapy,"These findings were reinforced by a study from two hospitals in Wuhan, China that measured the dispersion distance of Coronavirus 2 in the ICU and ward environments, and found virus nucleic acid up to 4 m from the patient beds .",1
859,Assessment of dispersion of airborne particles of oral/nasal fluid by high flow nasal cannula therapy,"A systematic review of SARS-related literature conducted to understand the risk of transmission to healthcare workers from aerosol-generating procedures , reported that intubation was a high-risk procedure.",1
893,Respirator Donning in Post- Hurricane New Orleans,The US Department of Health and Human Services currently recommends that persons living in or visiting an area affected by avian infl uenza A wear N95 FF respirators when in contact with birds in an enclosed environment .,1
1060,Decision Support Algorithm for Selecting an Antivirus Mask over COVID-19 Pandemic under Spherical Normal Fuzzy Environment,"As a large family of viruses, coronaviruses are known to cause colds and more serious diseases such as MERS and SARS , among which COVID-19 is a new coronavirus strain that has never been found in humans before.",1
1073,Decision Support Algorithm for Selecting an Antivirus Mask over COVID-19 Pandemic under Spherical Normal Fuzzy Environment,"The suitability of an antivirus mask is not only related to the protective effect of the mask itself, but also to the tightness of the combination of the mask and the human face.",1
1142,Decision Support Algorithm for Selecting an Antivirus Mask over COVID-19 Pandemic under Spherical Normal Fuzzy Environment,"NFN not only expresses objective evaluation of target criteria, but also has higher derivative continuity and is closer to human thinking than other fuzzy numbers , such as triangular FNs, trapezoidal FNs, and hesitant FNs .",1
1198,Decision Support Algorithm for Selecting an Antivirus Mask over COVID-19 Pandemic under Spherical Normal Fuzzy Environment,"In addition, he or she evaluates the antivirus masks by considering four criteria, namely, leakage rate , that is the adhesiveness of the mask structure design to cover the human face; reusability ; quality of raw materials ; and filtration efficiency , which means the filtration efficiency of non-oily 0.3µm particles is greater than 95%, and it must also have medical protection requirements such as surface moisture resistance and blood barrier.",1
1205,Decision Support Algorithm for Selecting an Antivirus Mask over COVID-19 Pandemic under Spherical Normal Fuzzy Environment,"In addition, he or she evaluates the antivirus masks by considering four criteria, namely, leakage rate , that is the adhesiveness of the mask structure design to cover the human face; reusability ; quality of raw materials ; and filtration efficiency , which means the filtration efficiency of non-oily 0.3μm particles is greater than 95%, and it must also have medical protection requirements such as surface moisture resistance and blood barrier.",1
1211,Decision Support Algorithm for Selecting an Antivirus Mask over COVID-19 Pandemic under Spherical Normal Fuzzy Environment,"In addition, he or she evaluates the antivirus masks by considering four criteria, namely, leakage rate , that is the adhesiveness of the mask structure design to cover the human face; reusability ; quality of raw materials ; and filtration efficiency , which means the filtration efficiency of non-oily 0.3μm particles is greater than 95%, and it must also have medical protection requirements such as surface moisture resistance and blood barrier.",1
1217,Decision Support Algorithm for Selecting an Antivirus Mask over COVID-19 Pandemic under Spherical Normal Fuzzy Environment,"In addition, he or she evaluates the antivirus masks by considering four criteria, namely, leakage rate , that is the adhesiveness of the mask structure design to cover the human face; reusability ; quality of raw materials ; and filtration efficiency , which means the filtration efficiency of non-oily 0.3μm particles is greater than 95%, and it must also have medical protection requirements such as surface moisture resistance and blood barrier.",1
1223,Decision Support Algorithm for Selecting an Antivirus Mask over COVID-19 Pandemic under Spherical Normal Fuzzy Environment,"In addition, he or she evaluates the antivirus masks by considering four criteria, namely, leakage rate , that is the adhesiveness of the mask structure design to cover the human face; reusability ; quality of raw materials ; and filtration efficiency , which means the filtration efficiency of non-oily 0.3μm particles is greater than 95%, and it must also have medical protection requirements such as surface moisture resistance and blood barrier.",1
1229,Decision Support Algorithm for Selecting an Antivirus Mask over COVID-19 Pandemic under Spherical Normal Fuzzy Environment,"In addition, he or she evaluates the antivirus masks by considering four criteria, namely, leakage rate , that is the adhesiveness of the mask structure design to cover the human face; reusability ; quality of raw materials ; and filtration efficiency , which means the filtration efficiency of non-oily 0.3μm particles is greater than 95%, and it must also have medical protection requirements such as surface moisture resistance and blood barrier.",1
1235,Decision Support Algorithm for Selecting an Antivirus Mask over COVID-19 Pandemic under Spherical Normal Fuzzy Environment,"In addition, he or she evaluates the antivirus masks by considering four criteria, namely, leakage rate , that is the adhesiveness of the mask structure design to cover the human face; reusability ; quality of raw materials ; and filtration efficiency , which means the filtration efficiency of non-oily 0.3μm particles is greater than 95%, and it must also have medical protection requirements such as surface moisture resistance and blood barrier.",1
1331,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,Protecting HCWs from SARS-CoV-2 is therefore of great importance for individual HCW and for their role in fighting this devastating pandemic effectively.,1
1335,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"In fact, except for aerosol generating procedures requiring higher level of respiratory protection with filtering respirators , WHO considers surgical masks adequate for the routine care of coronavirus disease 2019 patients .",1
1336,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"Instead, the Centers for Disease Control and the European Center for Disease Control guidelines have a more cautious approach, acknowledging that the exact role of airborne route in the transmission of SARS-CoV-2 is still largely unknown .",1
1337,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"The direct evidence supporting the WHO guidelines is based on very few case reports on the absence of SARS-CoV-2 in air samples taken in highly protected environments where a rapid dilution of aerosols occurs, the absence of infection of HCWs exposed for a limited time or limited viral loads, or on modelling of epidemiologic patterns of transmission .",1
1338,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"In contrast, the airborne opportunistic route of transmission has been documented for SARS and MERS caused by closely related coronaviruses responsible of severe nosocomial infections among HCWs.",1
1339,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,Aerosol filtering respirators were consequently recommended for SARS during 2002-03 outbreak .,1
1341,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"The presence of SARS-CoV-2 in aerosols has been documented in experimental and real life conditions in crowded, poorly ventilated hospital areas unrelated to aerosol generating procedures .",1
1344,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"There are already some systematic reviews addressing the role of N95 respirators in protecting HCWs, offering however a debatable interpretation of the estimates of the effect .",1
1346,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,Indeed strengthening the preparedness and resiliency of health care systems to this pandemic crisis occurs not only avoiding SARS-CoV-2 infection but also preventing any HCW respiratory infection causing absenteeism from work.,1
1354,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,HWCs exposed to SARS-CoV-2 or any other respiratory infection.,1
1370,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"Then, two reviewers independently extracted the following data from the included studies: first author, publication year, country, type of influenza detected, season of interest, details of study population and intervention, study design, sample size, settings, and outcome findings.",1
1414,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,No RCTs addressing the prevention of SARS-CoV-2 infection among HCWs was found.,1
1422,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,While some observational evidence suggests that an airborne route of diffusion of SARS-CoV-2 may occur also outside the aerosol generating procedures so far no RCT has directly compared the effect of filtering respirators with surgical masks in preventing SARS-CoV-2 infection and related deaths among HCWs.,1
1423,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"Also, it is unlikely that such a trial could be ethically acceptable in the near future if the evidence of an aerosol diffusion of SARS-CoV-2 grows even more.",1
1429,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"Instead, given the blurred distinction between airborne and droplet diffusion of respiratory viruses it could also be considered as indirect evidence of the opportunistic airborne route of transmission of respiratory viruses in the healthcare environment, where prolonged exposures, high viral loads, asymptomatic carriers, overcrowding and poor ventilation could enhance the opportunistic airborne diffusion among HCWs of viruses such as SARS-CoV-2.",1
1432,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"Such guidelines should explicitly consider among other factors the human and organizational costs of delaying the adoption of N95 respirators versus the benefits of an immediate adoption and, finally, the key value of safeguarding HCWs in the context of SARS-CoV-2 pandemic.",1
1441,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"As well, we did not anticipate mortality as outcome in the review because of the low mortality rate of SARS-CoV-2 irrespectively of being HCWs or not.",1
1448,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,"Finally, we offered a solid ground for the development of future evidence-based clinical guidance based on the quality of evidence by GRADE approach which can be applied in a variety of decision-making contexts, including urgent responses as the novel coronavirus SARS-COV-2 pandemic .",1
1453,The need of health policy perspective to protect Healthcare Workers during COVID-19 pandemic. A GRADE rapid review on the N95 respirators effectiveness,The evidence from the current study could be used to inform the production of trustworthy GRADE based guidelines for the prevention of SARS-CoV-2 infection among HCWs.,1
1460,Personal Protective Equipment: Protecting Health Care Providers in an Ebola Outbreak,"The importance of PPE was recognized during the outbreak of severe acute respiratory syndrome , in which HCP accounted for $ 20% of persons who were infected with SARS.",1
1461,Personal Protective Equipment: Protecting Health Care Providers in an Ebola Outbreak,"3 Evidence of continued SARS transmission despite the use of droplet, contact, and airborne precautions drew attention to the possibility of nosocomial transmission during PPE removal or doffing.",1
1466,Personal Protective Equipment: Protecting Health Care Providers in an Ebola Outbreak,"Once the Ebola virus enters the human population, outbreaks are sustained through human-to-human transmission, which is facilitated by the presence of the virus in every body fluid, including blood, diarrhea, vomit, sweat, breast milk, vaginal secretions, and semen.",1
1477,Personal Protective Equipment: Protecting Health Care Providers in an Ebola Outbreak,"In a nonhuman primate study of viral persistence after death, replication competent virus was detectable in oral, nasal, and blood samples from dead animals.",1
1563,Personal Protective Equipment: Protecting Health Care Providers in an Ebola Outbreak,"After the SARS outbreak the CDC sequence for removing PPE was evaluated with the use of a nonenveloped, nonpathogenic RNA virus and Glogerm fluorescent synthetic beads.",1
1574,Personal Protective Equipment: Protecting Health Care Providers in an Ebola Outbreak,"5 Although PPE is often only worn for short periods of time, pathogenic viruses such as influenza, SARS, and Ebola can survive for extended periods of time on surfaces and be sources of transmission via surface-tohand and hand-to-face/mucous membrane contact.",1
